smile,reaction_energy
C[NH2+]Cc1sc(N2CC[C@H]([NH+]3CCCC3)C2)nc1C(C)C,2.0723928633928295
Cc1nc(C[C@@](C)(O)C[NH2+]C(C)(C)C)sc1C,2.201008971905708
C[C@H]([NH2+]C1CCN([C@H](C)c2ccncc2)CC1)C1CCCCC1,2.029956106495857
CCCN(CC1CC1)c1nc(C(C)C)c(C[NH3+])s1,2.194532789111137
COc1cc(OC)c(C[NH+]2CC[C@H](C)[C@@H](n3ccnc3)C2)c(OC)c1,2.0164318176269527
CC(C)[NH2+]Cc1cnc(N2CC[C@H]3CC[C@@H](C2)[NH+]3C)s1,2.0896243743181224
Cc1cccnc1C[C@H](O)C[C@H](C)C(C)(C)C,2.192362007117271
Cc1ncc([C@H](C)NC[C@H](CC(C)C)[NH+]2CCCC2)s1,2.1929871844053266
CC[C@@H]1CC[C@H]([NH+](CCc2nccs2)C(C)C)C1,2.110677789187431
C[NH2+][C@@H](Cc1ccsc1)C(C)(C)[NH+]1CCCC1,2.0517739021539687
Cc1csc([C@@H](C)[NH2+][C@H]2CCCCC2(C)C)n1,2.0915613340616224
Cc1ncc([C@H](C)[NH2+]C[C@@H](C)C[C@@H](C)O)s1,2.0888233349561687
CC(C)(C)SC[C@H]([NH3+])[C@@H]1CCc2cccnc21,2.001923939609527
CC(C)[C@H]([NH2+]C[C@@H](C)C[NH+]1CCCCC1)c1cccnc1,2.219964426541328
CC(C)N(CCCCl)c1nc[nH+]c2c1CCCCC2,2.1506943371772764
OC[C@H]1CCCCC[C@H]1[NH2+]Cc1nc2c(s1)CCC2,2.020605693411827
COc1ccc(C[NH+]2CCC(OCC[NH+]3CCCC3)CC2)s1,2.090369187355041
C[NH2+][C@@H](Cc1ccsc1)C(C)(C)[NH+]1CCCCCC1,2.0658275110960003
CCC(C)(C)[NH2+]CCOc1cccnc1C,2.3688168105125422
CC(C)[NH2+]C[C@@H](C)[C@H](C)[NH+](C)Cc1ccco1,2.0934286920547485
C[C@@H]1CC(Oc2ccc(CBr)nc2)C[C@@H](C)C1,2.0796094007492063
CCC[NH2+][C@@H](CSC(C)C)[C@H]1CCc2cccnc21,2.0906220819711683
CC[C@@](C)([C@@H](NC)c1cccnc1)[NH+](C)C,2.108805229640007
CC1CC[NH+](CCCNCc2cn(C)nc2C(C)(C)C)CC1,2.10589879925251
CC[NH2+]C1CCC([NH+](C)Cc2cccnc2)CC1,2.1151615289926524
C[NH2+][C@@H]([C@@H](C)c1ccncc1)C1(CC(C)C)CCCC1,2.1887868054628368
C[C@H](O)C[C@@H]1CCC[NH+]1Cc1ccc(N2CCCC2)nc1,2.021048073220253
CCCn1c(N)c(N[C@H](CO)C(C)C)c(=O)[nH]c1=O,2.0609454808473586
CCCN(CCC)c1nc(C(C)C)c(C[NH3+])s1,2.2620717516660687
COc1ccsc1C[NH+]1CC[C@@H](CSC)C1,2.269913714003563
