smile,reaction_energy
Cc1nc(C[C@H](C)[C@H](C)[NH3+])sc1C,2.0466927266836166
CC1(C)CC[NH+](CC[NH2+]CCc2ccsc2)C1,2.0469827752590177
CCc1ccc(C[C@@]2([NH3+])CC[C@@H](C)[C@H](C)C2)nc1,2.0228421140670774
CC[C@@H](O)[C@H]1CCCC[NH+]1Cc1cc(OC)c(OC)c(OC)c1,2.0008908118486404
CCc1ncc(C[NH2+][C@@H](CC)CCO)s1,2.0399926293611523
Cc1nn([C@@H](C)C2CC2)c(C)c1[C@H](C)C[NH2+]C(C)C,2.2245616097688674
CCCN[C@H](c1cnccc1C)C(C)(C)[NH+](C)C,2.293042301344871
C[C@H]1C[C@@H]1CN(C)[C@@H](C[NH3+])c1cncn1C1CC1,2.084955855488777
CCCCC1CCC(CO)(Cc2nc(C)c(C)s2)CC1,2.1170177407979964
C[C@@H]1C[NH+](Cc2c[nH]nc2C(C)(C)C)C[C@H]1C,2.054308297562599
CCc1ccc([C@H](C)[NH2+]C[C@@H](C)SC)o1,2.103216283392906
Cc1cc([C@H](C)[NH2+][C@H](C)C[C@@H]2CCCC[NH2+]2)c(C)s1,2.0908705181121823
CSCCC[NH2+][C@@H](c1cccnc1)C(C)C,2.1547290094614024
CCN(CC)c1ncc(CN[C@H]2CC[C@H]([NH+](C)C)C2)s1,2.272703728652
CCCC[C@H](Cc1ccc(C)cn1)[NH2+]C,2.028190054965019
CN[C@@H](c1cnccc1C)[C@@]1([NH+](C)C)CCC[C@H](C)C1,2.278860882782936
Cc1ncn(C[C@H](C)[NH2+]CCC[NH+]2C[C@@H](C)C[C@H](C)C2)c1C,2.1481837203025815
C[C@@H]1CCC[C@]([C@H]([NH3+])Cc2ccsc2)(N(C)C)C1,2.066320915675163
COc1c([C@H](O)CC2CCCC2)c(C)nn1C,2.0370544942617412
C[NH2+][C@H](C)C[C@@H](C)Cc1nc(C)c(C)s1,2.1547956388950347
Cc1ccc(C[C@@H](C)[NH2+][C@@H]2CC[C@H]([NH3+])C2)s1,2.073908497238159
CC(C)[NH2+]C[C@@H](C)Cc1nc(C(C)(C)C)cs1,2.229913266062736
c1sc(CCN[C@H]2CC[NH+](C3CC3)C2)nc1C1CCCCC1,2.0318829108238217
CC[C@@H](Br)CCc1nc(C(C)(C)C)cs1,2.089446035313606
COc1ccccc1[C@@H](C)NCc1c(C(C)C)[nH+]n(C)c1N(C)C,2.040639355945587
CCC[NH2+][C@@H](Cc1nccn1C)C1CCC(CC)CC1,2.194807233023643
CCn1nccc1C[NH+](C)C[C@@]1(O)CCC[NH+](C)C1,2.173661180949211
CC[C@@H](C)[NH+](CC)c1ccc(N)cn1,2.0911447143316266
C[C@H]1CCC[C@@H]([NH2+]C[C@@H](c2ccco2)N(C)C)C1,2.0028963825702664
CC(C)C[NH2+]Cc1cc(Br)cnc1N1C[C@H](C)[C@@H](C)C1,2.0759425526618953
CO[C@H]1CCC[C@@H](OCc2ccc(C[NH2+]C3CC3)cn2)C1,2.0169338914632795
CC[C@@H]([NH2+]CCC1=CCCC1)c1c(C)nn(C)c1C,2.0039074656486506
Cc1ccc([C@@H](C)[NH2+][C@@H]2CCN(C(C)C)C2=O)s1,2.03485993373394
Cc1ccc(OC2CC[NH+](Cc3c(C)nn(CCO)c3C)CC2)cc1,2.0136881215810774
CCc1ccc(C[C@@H]([NH3+])CC(C)C)nc1,2.055185626387596
CC[C@@H](NC[C@H]1CCCCC[C@@H]1[NH3+])c1nccs1,2.0438640719175334
Cc1nn(CCO)c(C)c1CN[C@H]1CC[C@@H]([NH+](C)C)C1,2.178123619151115
CCCC[C@@H]([NH3+])c1ccnn1CCC,2.0714174481153487
