smile,reaction_energy
Cc1csc(C[NH+](C[C@@H](C)O)C2CCCCC2)n1,2.0320872575998306
Cc1ccc([C@H]2C[C@@H](C)CC[NH+]2CCOCCO)o1,2.056914028573036
Cc1ccc(OCC2CCC2)c(CBr)n1,2.0563235283136363
CC[C@@](C)([C@H](N)Cc1ccncc1)[NH+]1CCCC1,2.076692071866989
Cc1nccn1-c1ccc([C@@H](C)[NH2+]C2CCC(C[NH+](C)C)CC2)cc1,2.0469297689437864
CC(C)C[NH2+]Cc1nc2c(s1)CCC2(C)C,2.202019064211845
C[C@@H]1C[C@H](N(C)Cc2cnc(C3CCCC3)s2)CC[NH+]1C,2.126833816838264
Cc1ccoc1C[NH+](C)CC1CC[NH+](C)CC1,2.0739367342472073
CCC[NH2+][C@@H]1CC[C@H](C)C[C@@H]1Cc1nccs1,2.0491228433132167
C[NH2+][C@H](CCC(C)C)[C@@H]1CCc2cccnc21,2.0059380533695217
CC[C@H](O)[C@H](C)Cc1nc(C)c(C)s1,2.07961262075901
CCN(c1nc(C(C)C)c(C[NH3+])s1)C(C)C,2.2449621057271956
CC(C)[C@@H](CO)[NH2+]CCc1ccncc1,2.0885649910926816
C[NH+]1CCC[C@@H](c2ccc(NCCO)cn2)C1,2.2529412900209422
Cc1nc(C[C@H](C)C[NH2+]C(C)C)sc1C,2.1560873582124707
C[NH2+]Cc1ccc(N2C[C@@H](C)[C@H](C)C2)nc1,2.0393350042819973
Cc1ccc([C@@H](O)C2(C[NH3+])CCC(C(C)C)CC2)o1,2.0897373223543165
CCc1cc(C[C@H](O)[C@@H]2C[NH+](C)CCN2C)n(CC)n1,2.0244243773460386
CC[C@@](C)([C@H](O)Cc1nccs1)[NH+]1CCCC1,2.0547437419652934
c1cncc(OC[C@H]2CCC[NH2+]C2)c1,2.0117905450344082
CCc1cc(C[C@]2(CC(C)C)CCC[NH2+]2)n(CC)n1,2.093188182091713
CCc1ccc([C@@H](O)C(CC)CC)o1,2.0212695108175276
CCc1c(N2CC[C@](O)(CC)[C@H](O)C2)nc(C)[nH+]c1C,2.1381149973392484
C[C@H]1CCC[NH+](CCCC[NH2+][C@@H](C)c2nccs2)C1,2.1351468913793563
CCC[NH2+]C[C@H](C)Cc1c(C)nn(C)c1C,2.12144352042675
CCC(CC)n1ncc(N)c1C,2.0942626745939252
